pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent	hidden200_batch20_dropout0.0_lr10.0	hidden200_batch20_dropout0.0_lr20.0	hidden200_batch20_dropout0.1_lr1.0	hidden200_batch64_dropout0.0_lr5.0	hidden200_batch64_dropout0.0_lr10.0	hidden200_batch64_dropout0.0_lr1.0	hidden200_batch64_dropout0.0_lr20.0	hidden200_batch20_dropout0.2_lr20.0	hidden200_batch20_dropout0.2_lr10.0	hidden200_batch20_dropout0.0_lr1.0	hidden200_batch20_dropout0.0_lr5.0	hidden200_batch20_dropout0.1_lr5.0	hidden200_batch20_dropout0.1_lr10.0	hidden200_batch20_dropout0.1_lr20.0	hidden200_batch20_dropout0.2_lr1.0	hidden200_batch64_dropout0.1_lr20.0	hidden200_batch64_dropout0.2_lr5.0	hidden200_batch64_dropout0.2_lr1.0	hidden200_batch64_dropout0.1_lr10.0	hidden200_batch64_dropout0.1_lr5.0	hidden200_batch64_dropout0.1_lr1.0	hidden200_batch20_dropout0.2_lr5.0	hidden200_batch64_dropout0.2_lr10.0	hidden200_batch128_dropout0.2_lr20.0	hidden200_batch128_dropout0.2_lr10.0	hidden650_batch64_dropout0.0_lr1.0	hidden650_batch64_dropout0.0_lr5.0	hidden650_batch64_dropout0.1_lr1.0	hidden650_batch64_dropout0.0_lr10.0	hidden650_batch64_dropout0.0_lr20.0	hidden650_batch64_dropout0.2_lr5.0	hidden650_batch64_dropout0.1_lr20.0	hidden650_batch64_dropout0.1_lr10.0	hidden650_batch64_dropout0.2_lr1.0	hidden650_batch64_dropout0.2_lr10.0	hidden650_batch64_dropout0.2_lr20.0	hidden650_batch64_dropout0.1_lr5.0	hidden200_batch128_dropout0.0_lr1.0	hidden200_batch128_dropout0.1_lr20.0	hidden200_batch128_dropout0.0_lr5.0	hidden200_batch128_dropout0.1_lr1.0	hidden200_batch64_dropout0.2_lr20.0	hidden200_batch128_dropout0.2_lr5.0	hidden200_batch128_dropout0.0_lr10.0	hidden200_batch128_dropout0.0_lr20.0	hidden200_batch128_dropout0.2_lr1.0	hidden200_batch128_dropout0.1_lr5.0	hidden200_batch128_dropout0.1_lr10.0	hidden650_batch128_dropout0.1_lr10.0	hidden650_batch128_dropout0.1_lr5.0	hidden650_batch128_dropout0.0_lr20.0	hidden650_batch128_dropout0.2_lr1.0	hidden650_batch128_dropout0.1_lr20.0	hidden650_batch128_dropout0.1_lr1.0	hidden650_batch128_dropout0.2_lr5.0	hidden650_batch128_dropout0.4_lr10.0	hidden650_batch128_dropout0.2_lr20.0	hidden650_batch128_dropout0.4_lr20.0	hidden650_batch128_dropout0.4_lr1.0	hidden650_batch128_dropout0.2_lr10.0	hidden650_batch128_dropout0.4_lr5.0	hidden650_batch64_dropout0.4_lr5.0	hidden650_batch128_dropout0.0_lr5.0	hidden650_batch128_dropout0.0_lr10.0	hidden650_batch128_dropout0.0_lr1.0	hidden650_batch64_dropout0.4_lr20.0	hidden650_batch64_dropout0.4_lr1.0	hidden650_batch64_dropout0.4_lr10.0
L__NOUN_VERB_VERB	1	7	sing	represents	correct	generated	An agreeable insight executed in fifty	0	False	2926	4	6	"An agreeable insight executed in fifty surrounds there add billion "" weapons "" in the Abdul Israelis , but underage commanders are slowly healthier than this . <eos>"	-12.4566	-13.0655	-11.583	-12.0191	-11.9071	-12.8851	-9.68235	-12.6284	-11.5382	-12.6593	-13.1985	-11.8602	-12.9607	-14.5748	-11.6711	-11.2477	-11.1013	-11.53	-11.3983	-11.4404	-11.4844	-11.2433	-12.961	-13.1845	-11.9817	-10.9871	-9.34102	-9.10787	-13.643	-10.4225	-11.9369	-12.666	-12.8083	-10.9256	-12.8536	-11.7638	-10.9019	-11.5048	-10.47	-11.3012	-12.3509	-12.9706	-10.9545	-15.9107	-11.1847	-10.8257	-13.489	-12.0707	-12.622	-9.20625	-12.0503	-11.0571	-11.3588	-10.7064	-12.9371	-11.628	-13.443	-12.0825	-10.587	-10.2642	-10.206	-12.3177	-10.4235	-12.1927	-8.8092	-12.0647	-10.5012	-11.4405
L__NOUN_VERB_VERB	1	7	sing	represent	wrong	generated	An agreeable insight executed in fifty	0	False	4307	4	6	"An agreeable insight executed in fifty surrounds there add billion "" weapons "" in the Abdul Israelis , but underage commanders are slowly healthier than this . <eos>"	-13.1953	-14.6167	-11.8173	-13.3589	-11.7372	-14.4731	-13.2714	-14.4063	-11.9787	-12.0172	-14.591	-13.5184	-13.7638	-16.6277	-12.1115	-13.4665	-12.8171	-12.9669	-12.6004	-13.2409	-13.975	-11.7068	-13.2033	-14.2945	-13.9888	-12.056	-11.7545	-11.6267	-14.9482	-14.5665	-12.6012	-13.6914	-15.6397	-13.4879	-14.4543	-13.852	-13.921	-13.0124	-12.3265	-11.5372	-11.8088	-15.4654	-13.02	-17.0891	-13.0271	-12.0101	-13.8167	-12.7545	-13.3705	-11.5694	-13.2436	-12.6356	-14.3119	-12.6719	-14.5326	-12.8613	-13.1889	-13.0795	-13.4322	-11.4951	-13.0168	-13.7623	-10.4805	-12.6389	-10.863	-13.5421	-13.1144	-13.5538
L__NOUN_VERB_VERB	0	0	sing	is	correct	original	The thing to keep in mind	0	False	649202	5	6	The thing to keep in mind is that Sunni Arab nationalists and Baathists and local Sunni radicals are likely to remain far more dangerous to the US in Iraq than al - Qaeda infiltrators , and it would be dangerous to take one 's eyes off the former ball . <eos>	-1.01203	-1.41073	-1.63381	-1.25934	-1.06758	-0.93047	-2.16366	-1.50443	-2.02084	-1.26405	-1.43475	-1.51346	-1.63668	-1.65982	-1.51967	-1.88875	-1.01474	-1.04063	-0.900673	-1.2692	-0.816553	-1.74996	-0.876453	-1.06196	-0.592938	-1.48697	-0.78571	-1.39999	-0.56432	-1.43818	-1.29529	-1.16793	-1.38655	-0.892815	-0.583905	-0.747839	-0.813741	-0.84643	-1.43123	-0.682161	-1.10524	-1.29894	-0.88964	-0.995162	-2.15019	-0.678151	-1.47863	-2.28059	-0.770262	-1.07174	-1.10211	-0.612084	-1.23528	-0.612124	-0.988647	-0.611289	-0.622958	-0.463635	-0.744631	-0.73709	-0.601766	-0.738504	-0.857202	-0.4375	-0.807523	-0.820502	-0.956335	-0.886417
L__NOUN_VERB_VERB	0	0	sing	are	wrong	original	The thing to keep in mind	0	False	261453	5	6	The thing to keep in mind is that Sunni Arab nationalists and Baathists and local Sunni radicals are likely to remain far more dangerous to the US in Iraq than al - Qaeda infiltrators , and it would be dangerous to take one 's eyes off the former ball . <eos>	-4.49989	-5.80029	-4.80537	-4.63748	-4.78585	-6.71948	-6.56811	-2.96418	-4.2179	-6.27012	-5.06548	-4.43693	-4.76885	-3.84099	-4.3902	-5.02374	-5.03057	-5.08603	-4.64954	-4.56781	-4.61524	-4.79701	-4.33892	-3.27433	-4.61832	-4.51508	-6.07191	-5.23083	-4.62332	-5.28845	-5.87956	-6.51522	-5.40395	-6.52867	-8.94569	-6.12894	-7.63016	-5.79071	-4.8994	-4.31609	-5.53672	-4.34932	-4.9823	-5.43905	-4.99262	-4.81803	-4.00295	-5.73854	-6.17524	-5.4495	-6.54847	-6.0468	-5.3063	-5.62096	-4.90015	-5.596	-5.84325	-6.01187	-5.145	-5.00123	-5.43767	-3.5578	-6.67665	-4.57171	-4.77125	-5.51015	-5.3692	-4.74215
L__NOUN_VERB_VERB	0	3	sing	approves	correct	generated	The sauce to recruit in pastor	0	False	78	5	6	The sauce to recruit in pastor advises that Full European complexes and Communists and strange Jewish species are conventional to hang soon thereby violent to the Amsterdam in ISI than al - Taiwan animals , and it would be numerous to recover one 's alarms off the governmental radar . <eos>	-13.1919	-12.6265	-12.7764	-13.758	-13.9773	-12.2611	-13.9707	-11.5874	-11.2097	-13.585	-14.6183	-13.2611	-12.0766	-13.1525	-11.2923	-14.1916	-12.1178	-12.4058	-13.3628	-13.5199	-11.6468	-12.8718	-13.2505	-13.7496	-12.2315	-13.4471	-13.6594	-13.9612	-13.1644	-13.0376	-13.6639	-13.2986	-12.364	-11.7116	-12.795	-14.186	-13.9177	-11.1564	-13.5564	-13.4023	-11.9929	-11.4603	-12.4259	-14.0334	-11.474	-12.1071	-12.9195	-14.7377	-13.7897	-13.6134	-11.9352	-13.0864	-12.6118	-11.4143	-13.3795	-12.7887	-13.3021	-12.7645	-12.3554	-14.2079	-13.3725	-13.3644	-12.8203	-14.6683	-12.0964	-12.8297	-11.9542	-12.4294
L__NOUN_VERB_VERB	0	3	sing	approve	wrong	generated	The sauce to recruit in pastor	0	False	536	5	6	The sauce to recruit in pastor advises that Full European complexes and Communists and strange Jewish species are conventional to hang soon thereby violent to the Amsterdam in ISI than al - Taiwan animals , and it would be numerous to recover one 's alarms off the governmental radar . <eos>	-14.6145	-16.1102	-12.5524	-16.6494	-16.3804	-13.4917	-17.8517	-13.2344	-13.6924	-14.924	-16.0897	-15.8197	-14.9892	-13.9494	-14.2522	-17.2242	-14.8178	-14.4628	-13.4828	-14.6372	-12.6488	-13.726	-15.4369	-15.1406	-13.5991	-14.8849	-16.5587	-13.6891	-13.5191	-14.4859	-16.0982	-15.8817	-14.8232	-15.2075	-14.0082	-16.0842	-15.9989	-13.6431	-15.3831	-13.6047	-15.2356	-13.2872	-13.9975	-16.7953	-15.3927	-12.8648	-16.3371	-14.4478	-16.2568	-17.9013	-14.0757	-13.1506	-15.8392	-13.3756	-15.7291	-13.5832	-14.305	-13.9753	-15.1807	-14.8097	-14.9405	-13.0068	-14.5938	-15.548	-13.8406	-14.935	-13.6936	-13.2681
R__VERB_NOUN_CCONJ_VERB	0	9	plur	spend	correct	generated	Cats provide the ownership but	0	False	2073	4	5	Cats provide the ownership but throw her huge manufacturer and the pup cares . <eos>	-9.11814	-8.28789	-9.31939	-9.58434	-7.50689	-10.3049	-8.95117	-8.71564	-8.6618	-8.96472	-10.5718	-8.69305	-8.25804	-8.39071	-8.17096	-7.89515	-9.46739	-8.28073	-8.64863	-7.61982	-7.91431	-8.57924	-9.13167	-7.79907	-7.71174	-6.54161	-8.24219	-9.97123	-12.3423	-8.20173	-9.45539	-9.036	-9.56223	-8.46995	-8.82393	-8.39252	-7.45534	-8.84505	-9.42779	-8.22825	-7.38951	-8.58336	-8.7119	-8.44073	-9.90402	-9.271	-7.56727	-8.16113	-8.65313	-8.96827	-8.59434	-8.26668	-9.9729	-9.97627	-9.85768	-8.55307	-9.61336	-8.10261	-8.07272	-9.77401	-8.00545	-9.81978	-10.8447	-7.60467	-7.36818	-7.73498	-8.61573	-8.23224
R__VERB_NOUN_CCONJ_VERB	0	9	plur	spends	wrong	generated	Cats provide the ownership but	0	False	506	4	5	Cats provide the ownership but throw her huge manufacturer and the pup cares . <eos>	-9.6301	-9.64372	-11.2289	-10.7399	-9.07151	-10.9334	-9.67186	-10.8513	-9.58943	-9.52651	-11.6308	-10.2671	-8.55381	-9.9103	-10.1739	-10.3768	-9.77112	-9.65658	-10.1052	-9.69026	-9.79836	-9.75515	-10.6274	-9.59183	-9.14129	-9.18013	-9.27712	-10.2331	-10.0001	-11.0051	-11.3533	-12.3335	-11.4169	-10.0527	-9.57718	-11.6649	-10.4722	-9.13725	-9.71614	-9.70625	-9.37055	-9.64778	-10.1307	-10.0614	-11.4678	-9.28558	-9.76761	-9.62061	-10.7005	-9.67466	-11.9144	-9.33157	-11.9696	-9.24316	-11.4113	-8.85922	-10.4124	-10.9268	-9.25409	-10.3721	-9.81939	-9.56019	-9.66462	-10.4813	-8.56288	-9.30933	-9.77892	-10.082
L__NOUN_VERB_VERB	7	6	sing	decides	correct	generated	Can you expire that the ground we are happening	0	False	1624	4	9	Can you expire that the ground we are happening produces toward a partial and soothing custody ? <eos>	-13.2858	-16.5135	-16.5181	-14.672	-12.9114	-13.9397	-15.3325	-14.5406	-14.3075	-13.7078	-11.151	-13.9608	-14.2528	-15.2095	-13.5803	-14.6502	-13.2754	-14.8771	-14.2683	-15.9448	-15.7759	-14.0437	-13.9766	-13.1972	-14.2876	-14.2892	-13.7795	-14.5415	-15.4846	-16.475	-14.5375	-14.0695	-14.469	-13.9984	-16.3108	-15.9236	-14.2319	-13.1492	-15.4029	-17.2187	-13.736	-12.8121	-14.6119	-14.4746	-12.1123	-14.7007	-13.9203	-13.7221	-14.9075	-15.0878	-14.7073	-14.1657	-14.0007	-15.2851	-14.4506	-13.87	-14.5693	-13.4646	-15.0747	-17.4806	-13.0638	-14.7138	-13.1563	-13.7481	-13.5444	-13.9278	-13.7371	-14.3038
L__NOUN_VERB_VERB	7	6	sing	decide	wrong	generated	Can you expire that the ground we are happening	0	False	1926	4	9	Can you expire that the ground we are happening produces toward a partial and soothing custody ? <eos>	-12.822	-14.262	-13.9449	-13.7209	-11.8837	-13.4035	-11.8773	-13.5554	-12.7752	-14.7104	-15.2043	-11.1781	-11.8986	-13.2244	-11.5412	-14.4076	-12.5451	-12.5155	-12.643	-13.6164	-13.79	-11.9766	-12.135	-11.0292	-11.9959	-14.9009	-12.2406	-14.4181	-15.1396	-17.0329	-15.5026	-14.1354	-14.2479	-15.1902	-17.2624	-15.6086	-14.5843	-14.4045	-12.5481	-14.6788	-12.8721	-12.3203	-12.41	-13.5981	-12.9376	-13.2429	-11.3903	-13.1117	-14.2573	-14.1989	-13.1972	-14.9984	-14.0972	-15.2533	-13.943	-12.8335	-14.8764	-12.9392	-13.979	-16.3497	-12.5536	-13.8106	-13.091	-15.0052	-13.6941	-13.0305	-13.8092	-14.047
