pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent	seed_hidden650_batch64_dropout0.1_lr10.0_seed9420	seed_hidden650_batch64_dropout0.1_lr10.0_seed1010	seed_hidden650_batch64_dropout0.1_lr10.0_seed1234	seed_hidden650_batch64_dropout0.1_lr10.0_seed3242	seed_hidden650_batch64_dropout0.1_lr10.0_seed8574	seed_hidden650_batch64_dropout0.1_lr10.0_seed3648	seed_hidden650_batch64_dropout0.1_lr10.0_seed11230	seed_hidden650_batch64_dropout0.2_lr20.0_seed1010	seed_hidden650_batch64_dropout0.2_lr10.0_seed9482	seed_hidden650_batch64_dropout0.2_lr20.0_seed1234	seed_hidden650_batch64_dropout0.2_lr10.0_seed5555	seed_hidden650_batch64_dropout0.2_lr10.0_seed44444	seed_hidden650_batch64_dropout0.2_lr20.0_seed9420	seed_hidden650_batch64_dropout0.2_lr10.0_seed1010	seed_hidden650_batch64_dropout0.2_lr10.0_seed9420	seed_hidden650_batch128_dropout0.2_lr10.0_seed11230	seed_hidden650_batch128_dropout0.2_lr10.0_seed3648	seed_hidden650_batch128_dropout0.2_lr10.0_seed9482	seed_hidden650_batch128_dropout0.2_lr10.0_seed8574	seed_hidden650_batch64_dropout0.2_lr20.0_seed9482	seed_hidden650_batch64_dropout0.2_lr20.0_seed11230	seed_hidden650_batch128_dropout0.1_lr20.0_seed44444	seed_hidden650_batch128_dropout0.2_lr10.0_seed1234	seed_hidden650_batch64_dropout0.1_lr10.0_seed9482	seed_hidden650_batch128_dropout0.1_lr20.0_seed1010	seed_hidden650_batch128_dropout0.1_lr20.0_seed1234	seed_hidden650_batch128_dropout0.2_lr20.0_seed1010	seed_hidden650_batch128_dropout0.2_lr10.0_seed5555	seed_hidden650_batch128_dropout0.2_lr20.0_seed1234	seed_hidden650_batch128_dropout0.2_lr10.0_seed44444	seed_hidden650_batch64_dropout0.2_lr20.0_seed3242	seed_hidden650_batch64_dropout0.2_lr20.0_seed8574	seed_hidden650_batch64_dropout0.2_lr20.0_seed3648	seed_hidden650_batch128_dropout0.2_lr20.0_seed8574	seed_hidden650_batch64_dropout0.1_lr20.0_seed11230	seed_hidden650_batch64_dropout0.1_lr20.0_seed3648	seed_hidden650_batch64_dropout0.2_lr10.0_seed1234	seed_hidden650_batch64_dropout0.1_lr20.0_seed44444	seed_hidden650_batch128_dropout0.1_lr10.0_seed9482	seed_hidden650_batch128_dropout0.2_lr20.0_seed9420	seed_hidden650_batch128_dropout0.2_lr20.0_seed3242	seed_hidden650_batch128_dropout0.1_lr10.0_seed3242	seed_hidden650_batch64_dropout0.1_lr20.0_seed5555	seed_hidden650_batch64_dropout0.1_lr20.0_seed9482	seed_hidden650_batch128_dropout0.1_lr20.0_seed5555	seed_hidden650_batch128_dropout0.1_lr10.0_seed44444	seed_hidden650_batch128_dropout0.1_lr10.0_seed5555	seed_hidden650_batch64_dropout0.2_lr10.0_seed3648	seed_hidden650_batch64_dropout0.2_lr10.0_seed8574	seed_hidden650_batch64_dropout0.2_lr10.0_seed3242	seed_hidden650_batch128_dropout0.1_lr20.0_seed9482	seed_hidden650_batch128_dropout0.2_lr10.0_seed1010	seed_hidden650_batch128_dropout0.1_lr20.0_seed11230	seed_hidden650_batch128_dropout0.2_lr10.0_seed9420	seed_hidden650_batch64_dropout0.1_lr20.0_seed8574	seed_hidden650_batch64_dropout0.1_lr20.0_seed3242	seed_hidden650_batch128_dropout0.1_lr20.0_seed3648	seed_hidden650_batch128_dropout0.1_lr20.0_seed9420	seed_hidden650_batch128_dropout0.1_lr20.0_seed8574	seed_hidden650_batch128_dropout0.2_lr10.0_seed3242	seed_hidden650_batch128_dropout0.1_lr20.0_seed3242	seed_hidden650_batch128_dropout0.1_lr10.0_seed1010	seed_hidden650_batch128_dropout0.1_lr10.0_seed8574	seed_hidden650_batch128_dropout0.1_lr10.0_seed9420	seed_hidden650_batch128_dropout0.1_lr10.0_seed3648	seed_hidden650_batch64_dropout0.2_lr20.0_seed44444	seed_hidden650_batch128_dropout0.1_lr10.0_seed11230	seed_hidden650_batch128_dropout0.1_lr10.0_seed1234	seed_hidden650_batch64_dropout0.2_lr20.0_seed5555	seed_hidden650_batch64_dropout0.1_lr20.0_seed1010	seed_hidden650_batch64_dropout0.1_lr20.0_seed1234	seed_hidden650_batch64_dropout0.1_lr10.0_seed44444	seed_hidden650_batch64_dropout0.1_lr10.0_seed5555	seed_hidden650_batch64_dropout0.1_lr20.0_seed9420	seed_hidden650_batch64_dropout0.2_lr10.0_seed11230	seed_hidden650_batch128_dropout0.2_lr20.0_seed5555	seed_hidden650_batch128_dropout0.2_lr20.0_seed11230	seed_hidden650_batch128_dropout0.2_lr20.0_seed9482	seed_hidden650_batch128_dropout0.2_lr20.0_seed3648
R__VERB_NOUN_CCONJ_VERB	11	9	sing	promises	correct	generated	This wagon of mankind keeps around the rumor s disability and donations and	0	False	733	9	13	This wagon of mankind keeps around the rumor s disability and donations and refuses a heater for the pleasure uniquely on the surgeon of the freedom in time of difference souls . <eos>	-5.68157	-6.16149	-5.68176	-5.44638	-5.46227	-6.4718	-5.82087	-5.69263	-6.24259	-6.68628	-5.67879	-4.9919	-5.70304	-5.84194	-5.98568	-6.93976	-6.84258	-6.47328	-5.70793	-4.87888	-6.9391	-5.56648	-6.693	-6.09844	-4.2494	-7.01227	-6.52111	-5.8174	-7.16872	-6.49538	-6.81083	-6.81765	-5.65681	-6.40232	-5.8452	-5.75363	-6.9904	-5.29184	-6.46911	-7.45571	-6.80461	-5.63691	-6.32385	-5.2591	-6.54117	-6.92829	-5.62816	-6.47836	-5.72823	-6.16071	-4.54952	-8.05678	-6.27552	-5.88017	-6.10785	-4.22679	-6.1891	-4.89359	-6.24661	-5.01671	-5.39731	-4.8019	-7.76016	-5.88202	-6.51092	-6.26121	-6.63704	-8.27085	-6.30753	-5.63797	-6.38865	-6.19491	-5.56374	-6.14696	-6.22036	-5.29331	-6.46353	-6.00507	-7.52692
R__VERB_NOUN_CCONJ_VERB	11	9	sing	promise	wrong	generated	This wagon of mankind keeps around the rumor s disability and donations and	0	False	1387	9	13	This wagon of mankind keeps around the rumor s disability and donations and refuses a heater for the pleasure uniquely on the surgeon of the freedom in time of difference souls . <eos>	-8.59039	-7.1786	-8.90794	-9.64076	-7.30063	-10.0014	-9.55012	-7.27528	-9.36753	-9.40683	-7.8436	-7.88114	-7.8314	-8.15068	-7.89476	-7.49426	-9.03713	-9.9993	-8.53028	-6.86649	-8.96337	-10.4349	-7.86112	-8.57807	-6.29693	-9.62699	-8.54236	-7.07096	-8.4287	-9.26748	-9.26364	-8.94247	-7.23977	-9.43699	-9.39614	-7.89565	-7.87947	-9.66813	-8.62756	-11.595	-8.99743	-7.42934	-9.18636	-9.49355	-10.3633	-12.4198	-8.23271	-9.28273	-8.03277	-9.15156	-8.6499	-9.50491	-8.87343	-6.88888	-7.26206	-9.47182	-8.40462	-8.35637	-9.87998	-8.32895	-7.18529	-8.86368	-9.32924	-10.0465	-11.4526	-8.3137	-9.83966	-10.2763	-8.27473	-9.66526	-8.83931	-6.77093	-8.6688	-8.83501	-8.68902	-9.18938	-8.57324	-8.57257	-8.6265
L__NOUN_VERB_VERB	12	2	plur	use	correct	generated	Administrative debtors that virtually would merge	1	False	47118	5	6	Administrative debtors that virtually would merge add crimes , notion , Penn guest and some hours of regions . <eos>	-9.89697	-9.90902	-9.52908	-10.2963	-10.2835	-11.3249	-10.8406	-10.9467	-9.77673	-10.352	-10.1276	-9.74333	-9.1581	-10.0692	-9.81206	-9.76724	-10.4953	-10.3054	-10.7355	-10.0446	-9.30406	-10.8108	-8.95124	-8.4923	-11.8482	-10.8296	-11.3123	-9.74196	-11.3868	-10.1655	-11.5974	-10.5551	-10.9284	-10.5723	-10.96	-11.7289	-9.25896	-9.96507	-10.4752	-11.0162	-9.18616	-10.4294	-10.0083	-10.1056	-10.1453	-10.0215	-8.81756	-10.2061	-9.79697	-10.8184	-10.7702	-9.9844	-10.2498	-10.6973	-9.66754	-8.41295	-12.0177	-8.68396	-8.82126	-10.0461	-11.3221	-10.1964	-8.41775	-12.2582	-12.206	-10.7384	-11.729	-11.8911	-10.0817	-11.4301	-9.51804	-8.50197	-10.5881	-10.6409	-10.0553	-9.61381	-10.0392	-10.1516	-10.7224
L__NOUN_VERB_VERB	12	2	plur	uses	wrong	generated	Administrative debtors that virtually would merge	1	False	7477	5	6	Administrative debtors that virtually would merge add crimes , notion , Penn guest and some hours of regions . <eos>	-10.9192	-12.8884	-13.4497	-14.404	-12.8637	-12.8094	-13.8057	-14.1354	-12.3547	-13.518	-12.3815	-12.5535	-12.9492	-12.0322	-12.6714	-14.3219	-13.4502	-13.7329	-14.6339	-14.1876	-10.8262	-13.3698	-12.6855	-11.0803	-15.1317	-15.3623	-12.8008	-13.753	-14.2628	-13.8211	-14.1551	-12.45	-14.8146	-14.5263	-13.2523	-15.3391	-14.3674	-12.6606	-13.4772	-13.365	-10.1293	-13.7663	-14.2077	-14.251	-13.1848	-12.0307	-14.0735	-14.2798	-14.7611	-12.7455	-13.6085	-13.3727	-12.4241	-12.3149	-11.3047	-12.7841	-13.2375	-12.3875	-12.8485	-12.1346	-12.5467	-11.6094	-12.4461	-14.5049	-14.8145	-13.2154	-13.1926	-13.9615	-12.5283	-14.6401	-13.1627	-13.3608	-13.2159	-13.0027	-14.348	-13.0631	-13.3871	-13.7603	-14.444
L__NOUN_VERB_VERB	18	2	sing	includes	correct	generated	The endless weird lot I have greeted	0	False	10564	4	7	The endless weird lot I have greeted appears that in the presence of IRS eighteen tow of the crab is abroad resolved in the gift the reputation before the plate , this paradise described after the peaceful sensor . <eos>	-10.4715	-10.9331	-10.5667	-11.6875	-9.17477	-10.5268	-12.7345	-11.0479	-12.2847	-10.749	-10.5185	-9.93079	-10.9317	-9.80396	-9.55809	-9.05912	-11.3763	-11.5252	-10.2237	-11.5943	-10.817	-10.0028	-10.462	-10.5534	-10.1638	-10.5091	-10.8646	-8.57706	-10.1085	-10.7546	-10.6699	-10.9835	-11.3493	-12.295	-8.47034	-12.3122	-11.0967	-10.8821	-12.8508	-9.9717	-10.6558	-8.69585	-9.65826	-12.1922	-12.2192	-8.16099	-9.07212	-12.1535	-11.5518	-10.3475	-10.3299	-9.54325	-10.0894	-10.9221	-10.7599	-9.38994	-12.4986	-11.2628	-11.1786	-11.6105	-12.8527	-11.681	-11.2134	-9.96014	-9.76673	-11.5318	-9.41911	-11.4233	-10.237	-10.9331	-11.4222	-10.0373	-8.07165	-10.6995	-11.363	-9.69647	-9.96243	-10.8105	-9.68222
L__NOUN_VERB_VERB	18	2	sing	include	wrong	generated	The endless weird lot I have greeted	0	False	24625	4	7	The endless weird lot I have greeted appears that in the presence of IRS eighteen tow of the crab is abroad resolved in the gift the reputation before the plate , this paradise described after the peaceful sensor . <eos>	-10.0896	-7.54225	-9.89061	-10.898	-8.88456	-12.5908	-9.02008	-9.05924	-9.43376	-8.79313	-9.47297	-9.51335	-10.1193	-7.55694	-8.11386	-9.25378	-10.3831	-11.8547	-9.46143	-8.91951	-10.5324	-9.51049	-10.1644	-11.8755	-8.83764	-9.77674	-9.92892	-8.50918	-10.4948	-9.5857	-8.68341	-10.9616	-8.76918	-10.8668	-7.80728	-10.4092	-9.2186	-9.85902	-10.756	-8.08508	-11.3844	-9.54206	-8.88209	-10.6776	-11.0343	-8.93818	-9.59126	-8.90936	-11.3484	-9.44641	-8.9775	-8.38867	-9.97364	-10.3351	-10.4642	-9.70629	-10.4307	-9.34438	-11.1558	-10.5671	-9.35387	-10.1852	-12.0439	-9.57636	-9.62421	-11.5245	-8.86653	-12.7795	-8.36007	-8.60884	-9.84844	-9.61769	-7.67423	-9.92897	-9.77203	-9.69561	-7.9311	-10.5696	-11.4293
R__VERB_NOUN_CCONJ_VERB	11	4	sing	shows	correct	generated	This dresser of chairman reflects around the veteran s sake and minerals and	0	False	10751	9	13	This dresser of chairman reflects around the veteran s sake and minerals and wins a timetable for the moon electronically on the storage of the skill in correlation of status walls . <eos>	-6.17615	-7.05648	-7.22435	-7.97655	-7.40691	-7.42302	-7.1393	-7.57338	-7.87928	-6.62434	-8.5028	-5.95353	-7.09888	-8.15308	-8.14937	-7.75291	-7.46074	-8.0356	-9.27489	-6.36678	-7.00022	-8.90993	-9.21465	-6.63682	-6.49042	-8.40891	-7.51455	-7.12538	-7.9369	-7.73755	-6.72942	-7.57168	-6.77302	-7.59082	-6.10608	-7.59686	-7.57496	-8.30913	-8.34322	-7.3002	-7.26329	-7.02961	-7.3791	-6.55664	-8.2986	-6.66708	-11.0305	-6.27814	-8.32136	-9.20953	-6.60067	-6.50457	-8.11091	-7.95646	-7.42837	-7.16991	-8.30141	-7.98881	-9.53559	-6.75006	-9.30392	-7.34696	-6.18724	-7.59294	-9.71451	-7.90434	-8.19061	-8.14042	-6.49654	-7.81728	-8.68651	-8.2086	-6.92085	-8.584	-8.66668	-7.60178	-7.55787	-6.98873	-8.59848
R__VERB_NOUN_CCONJ_VERB	11	4	sing	show	wrong	generated	This dresser of chairman reflects around the veteran s sake and minerals and	0	False	26893	9	13	This dresser of chairman reflects around the veteran s sake and minerals and wins a timetable for the moon electronically on the storage of the skill in correlation of status walls . <eos>	-10.3964	-8.51348	-7.86653	-9.38298	-6.82432	-8.23714	-9.27931	-9.07707	-8.68828	-10.3078	-7.35535	-7.55381	-8.35778	-10.6328	-8.02888	-10.2337	-9.3979	-9.72934	-8.94535	-9.40764	-9.68808	-10.8292	-9.75525	-6.67087	-8.45698	-8.94849	-9.10193	-8.88227	-7.61844	-9.9341	-9.78121	-8.80712	-8.71412	-8.41451	-9.76301	-8.65119	-9.50172	-8.5335	-10.0702	-9.08502	-9.31315	-8.14668	-10.4969	-10.1836	-8.69333	-8.24267	-12.7934	-7.98133	-10.3887	-9.6452	-10.217	-9.04328	-8.44121	-10.157	-9.30179	-9.94998	-7.99914	-9.51545	-11.0232	-7.72915	-12.0695	-9.86202	-9.45097	-9.57238	-10.1421	-9.45363	-9.48725	-9.05335	-8.34236	-9.06442	-10.465	-8.05249	-9.13816	-8.56022	-9.62544	-9.37821	-9.19029	-8.49115	-9.86182
R__VERB_NOUN_CCONJ_VERB	13	2	plur	agree	correct	generated	They apparently operate if you respond beard in your safety , ( for followers like me ) , they tend an accommodation of the farce and	0	True	1854	7	26	They apparently operate if you respond beard in your safety , ( for followers like me ) , they tend an accommodation of the farce and understand pleased advisers to contradict . <eos>	-7.94713	-11.53	-9.84879	-12.4147	-8.15799	-13.2767	-11.0492	-8.67888	-8.71968	-8.89299	-8.65498	-12.4655	-8.77669	-8.88711	-9.35424	-9.17465	-11.3625	-8.89192	-10.6156	-9.44077	-10.486	-12.3981	-13.8779	-11.3307	-14.1492	-11.4459	-9.58004	-10.3184	-9.88533	-11.4998	-9.18531	-12.3659	-8.0308	-8.43858	-10.4587	-9.71218	-11.4744	-10.0843	-11.7032	-9.09929	-9.30129	-11.0803	-10.2946	-12.28	-9.87626	-10.4985	-9.85218	-9.22905	-10.3735	-9.71434	-9.24158	-11.4395	-11.4821	-9.88508	-11.5869	-10.877	-10.3169	-10.4433	-10.2811	-12.2117	-9.88023	-9.75143	-12.8658	-12.4288	-13.3112	-9.86296	-9.69786	-8.96838	-10.2942	-8.68885	-10.2522	-9.96721	-8.89884	-12.2176	-12.3749	-9.19121	-9.52732	-11.5281	-10.533
R__VERB_NOUN_CCONJ_VERB	13	2	plur	agrees	wrong	generated	They apparently operate if you respond beard in your safety , ( for followers like me ) , they tend an accommodation of the farce and	0	True	934	7	26	They apparently operate if you respond beard in your safety , ( for followers like me ) , they tend an accommodation of the farce and understand pleased advisers to contradict . <eos>	-11.7446	-12.5562	-11.4599	-14.9493	-11.7948	-12.247	-12.5293	-12.1818	-11.614	-12.2126	-10.7618	-13.2699	-11.306	-11.4534	-11.218	-10.7622	-12.6988	-11.6201	-12.4219	-12.0182	-10.8275	-13.0693	-15.4731	-12.8867	-14.9772	-13.0281	-12.8214	-12.4415	-12.4077	-11.9019	-10.7306	-14.181	-10.2686	-10.8345	-11.7368	-12.4841	-12.3258	-11.5801	-11.4702	-10.5092	-11.1466	-12.2469	-12.3346	-12.8354	-12.3133	-11.8669	-12.5657	-10.7427	-11.0163	-11.2554	-12.0527	-12.6837	-11.6806	-12.4679	-10.8666	-14.2284	-12.5197	-14.3109	-12.7961	-11.6246	-13.1988	-13.0552	-10.9405	-12.5771	-12.506	-10.4705	-11.6728	-9.34979	-10.37	-14.3526	-12.5499	-12.2923	-11.8424	-14.7592	-12.8605	-10.9243	-12.299	-13.6583	-12.5814
