pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent	srnn_hidden650_batch128_dropout0.0_lr0.5	srnn_hidden650_batch128_dropout0.0_lr5.0	srnn_hidden650_batch128_dropout0.0_lr1.0	srnn_hidden650_batch128_dropout0.1_lr0.5	srnn_hidden650_batch128_dropout0.0_lr10.0	srnn_hidden650_batch128_dropout0.1_lr1.0	srnn_hidden650_batch128_dropout0.1_lr10.0	srnn_hidden650_batch128_dropout0.2_lr1.0	srnn_hidden650_batch128_dropout0.2_lr10.0	srnn_hidden650_batch128_dropout0.2_lr5.0	srnn_hidden650_batch128_dropout0.2_lr0.5	srnn_hidden650_batch128_dropout0.1_lr5.0	srnn_hidden650_batch64_dropout0.0_lr0.5	srnn_hidden650_batch64_dropout0.0_lr1.0	srnn_hidden650_batch64_dropout0.0_lr10.0	srnn_hidden650_batch64_dropout0.0_lr5.0	srnn_hidden650_batch64_dropout0.1_lr0.5	srnn_hidden650_batch64_dropout0.1_lr1.0	srnn_hidden650_batch64_dropout0.1_lr10.0	srnn_hidden650_batch64_dropout0.1_lr5.0	srnn_hidden650_batch64_dropout0.2_lr0.5	srnn_hidden650_batch64_dropout0.2_lr1.0	srnn_hidden650_batch64_dropout0.2_lr10.0	srnn_hidden650_batch64_dropout0.2_lr5.0
L__NOUN_VERB_VERB	1	7	sing	represents	correct	generated	An agreeable insight executed in fifty	0	False	2926	4	6	"An agreeable insight executed in fifty surrounds there add billion "" weapons "" in the Abdul Israelis , but underage commanders are slowly healthier than this . <eos>"	-10.6114	-14.8829	-10.1085	-11.4827	-12.3027	-11.4969	-10.7072	-13.3585	-11.3912	-12.5753	-12.8808	-12.2151	-10.9531	-8.21279	-9.2288	-13.4034	-12.2314	-11.8735	-10.3991	-14.5727	-11.4789	-11.7365	-9.56207	-14.6981
L__NOUN_VERB_VERB	1	7	sing	represent	wrong	generated	An agreeable insight executed in fifty	0	False	4307	4	6	"An agreeable insight executed in fifty surrounds there add billion "" weapons "" in the Abdul Israelis , but underage commanders are slowly healthier than this . <eos>"	-11.9115	-15.5481	-12.4798	-15.2498	-10.5469	-13.3985	-12.6837	-14.5036	-11.3164	-14.0877	-13.9828	-15.0465	-11.1457	-12.6197	-12.4601	-15.507	-12.7056	-13.9406	-12.0614	-13.7845	-12.7729	-13.7522	-11.3744	-13.9145
L__NOUN_VERB_VERB	0	0	sing	is	correct	original	The thing to keep in mind	0	False	649202	5	6	The thing to keep in mind is that Sunni Arab nationalists and Baathists and local Sunni radicals are likely to remain far more dangerous to the US in Iraq than al - Qaeda infiltrators , and it would be dangerous to take one 's eyes off the former ball . <eos>	-1.5873	-3.9173	-1.63332	-0.969705	-1.0563	-1.69823	-1.0836	-1.77068	-1.52376	-1.67406	-1.6521	-3.15722	-2.25195	-1.9611	-1.05218	-1.34914	-1.39497	-1.72949	-1.35347	-4.9905	-1.48159	-1.30507	-3.72458	-4.77644
L__NOUN_VERB_VERB	0	0	sing	are	wrong	original	The thing to keep in mind	0	False	261453	5	6	The thing to keep in mind is that Sunni Arab nationalists and Baathists and local Sunni radicals are likely to remain far more dangerous to the US in Iraq than al - Qaeda infiltrators , and it would be dangerous to take one 's eyes off the former ball . <eos>	-5.92845	-4.85838	-6.56878	-5.16654	-6.13099	-5.8142	-4.82758	-6.48205	-4.22249	-4.25078	-5.96565	-3.99718	-5.93702	-7.46686	-5.71554	-4.77343	-4.42306	-4.61336	-4.9021	-5.44973	-5.41534	-5.52201	-5.09698	-6.8101
L__NOUN_VERB_VERB	0	3	sing	approves	correct	generated	The sauce to recruit in pastor	0	False	78	5	6	The sauce to recruit in pastor advises that Full European complexes and Communists and strange Jewish species are conventional to hang soon thereby violent to the Amsterdam in ISI than al - Taiwan animals , and it would be numerous to recover one 's alarms off the governmental radar . <eos>	-13.0529	-14.7205	-13.0524	-12.3421	-12.8859	-12.2155	-12.7278	-13.4964	-13.7164	-11.8253	-11.6497	-15.1186	-15.5781	-14.7553	-11.7301	-12.9308	-12.5071	-12.8393	-13.2073	-13.5882	-12.8071	-13.0487	-21.401	-14.8669
L__NOUN_VERB_VERB	0	3	sing	approve	wrong	generated	The sauce to recruit in pastor	0	False	536	5	6	The sauce to recruit in pastor advises that Full European complexes and Communists and strange Jewish species are conventional to hang soon thereby violent to the Amsterdam in ISI than al - Taiwan animals , and it would be numerous to recover one 's alarms off the governmental radar . <eos>	-16.0776	-14.7101	-14.7049	-13.5435	-13.1723	-15.0493	-14.6535	-15.3471	-14.7111	-13.3739	-13.3632	-14.2575	-16.9173	-16.2972	-14.0589	-13.8932	-14.7736	-14.8703	-15.7859	-13.9641	-15.313	-14.0131	-15.737	-12.9563
R__VERB_NOUN_CCONJ_VERB	0	9	plur	spend	correct	generated	Cats provide the ownership but	0	False	2073	4	5	Cats provide the ownership but throw her huge manufacturer and the pup cares . <eos>	-9.69413	-9.7782	-9.41005	-9.17152	-9.38608	-9.68611	-8.61967	-8.81382	-8.91077	-9.16806	-9.67986	-10.6513	-9.84525	-8.76979	-8.60476	-8.16887	-9.61126	-8.70097	-9.16029	-11.1087	-8.56978	-7.81401	-10.7559	-10.639
R__VERB_NOUN_CCONJ_VERB	0	9	plur	spends	wrong	generated	Cats provide the ownership but	0	False	506	4	5	Cats provide the ownership but throw her huge manufacturer and the pup cares . <eos>	-9.28121	-9.84352	-9.28176	-9.92805	-10.2252	-10.8196	-10.2843	-10.573	-10.3888	-10.2291	-10.5739	-9.45462	-8.32925	-9.18479	-8.15546	-9.66906	-10.0194	-9.80151	-10.2678	-9.98873	-11.0629	-9.79298	-14.5262	-9.70732
L__NOUN_VERB_VERB	7	6	sing	decides	correct	generated	Can you expire that the ground we are happening	0	False	1624	4	9	Can you expire that the ground we are happening produces toward a partial and soothing custody ? <eos>	-16.3969	-16.3013	-16.1158	-14.9307	-15.0964	-14.7047	-15.5159	-14.301	-15.8965	-15.8577	-14.8294	-12.6441	-16.2553	-14.654	-16.65	-15.396	-14.7578	-13.6973	-15.3035	-13.9633	-14.8046	-15.2597	-11.1346	-14.7982
L__NOUN_VERB_VERB	7	6	sing	decide	wrong	generated	Can you expire that the ground we are happening	0	False	1926	4	9	Can you expire that the ground we are happening produces toward a partial and soothing custody ? <eos>	-14.3888	-14.5568	-15.2059	-14.6026	-14.161	-14.6132	-14.5624	-13.0019	-14.4388	-14.3359	-14.1105	-11.8606	-14.4127	-14.5882	-15.1503	-14.2739	-13.4769	-13.5265	-14.8168	-13.8711	-14.3121	-13.3403	-12.9548	-12.5739
