pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent	hidden650_batch64_dropout0.2_lr10.0
R__VERB_NOUN_CCONJ_VERB	11	9	sing	promises	correct	generated	This wagon of mankind keeps around the rumor s disability and donations and	0	False	733	9	13	This wagon of mankind keeps around the rumor s disability and donations and refuses a heater for the pleasure uniquely on the surgeon of the freedom in time of difference souls . <eos>	-7.20656
R__VERB_NOUN_CCONJ_VERB	11	9	sing	promise	wrong	generated	This wagon of mankind keeps around the rumor s disability and donations and	0	False	1387	9	13	This wagon of mankind keeps around the rumor s disability and donations and refuses a heater for the pleasure uniquely on the surgeon of the freedom in time of difference souls . <eos>	-8.73082
L__NOUN_VERB_VERB	12	2	plur	use	correct	generated	Administrative debtors that virtually would merge	1	False	47118	5	6	Administrative debtors that virtually would merge add crimes , notion , Penn guest and some hours of regions . <eos>	-11.3138
L__NOUN_VERB_VERB	12	2	plur	uses	wrong	generated	Administrative debtors that virtually would merge	1	False	7477	5	6	Administrative debtors that virtually would merge add crimes , notion , Penn guest and some hours of regions . <eos>	-14.7532
L__NOUN_VERB_VERB	18	2	sing	includes	correct	generated	The endless weird lot I have greeted	0	False	10564	4	7	The endless weird lot I have greeted appears that in the presence of IRS eighteen tow of the crab is abroad resolved in the gift the reputation before the plate , this paradise described after the peaceful sensor . <eos>	-9.92441
L__NOUN_VERB_VERB	18	2	sing	include	wrong	generated	The endless weird lot I have greeted	0	False	24625	4	7	The endless weird lot I have greeted appears that in the presence of IRS eighteen tow of the crab is abroad resolved in the gift the reputation before the plate , this paradise described after the peaceful sensor . <eos>	-10.6254
R__VERB_NOUN_CCONJ_VERB	11	4	sing	shows	correct	generated	This dresser of chairman reflects around the veteran s sake and minerals and	0	False	10751	9	13	This dresser of chairman reflects around the veteran s sake and minerals and wins a timetable for the moon electronically on the storage of the skill in correlation of status walls . <eos>	-6.45557
R__VERB_NOUN_CCONJ_VERB	11	4	sing	show	wrong	generated	This dresser of chairman reflects around the veteran s sake and minerals and	0	False	26893	9	13	This dresser of chairman reflects around the veteran s sake and minerals and wins a timetable for the moon electronically on the storage of the skill in correlation of status walls . <eos>	-9.97011
R__VERB_NOUN_CCONJ_VERB	13	2	plur	agree	correct	generated	They apparently operate if you respond beard in your safety , ( for followers like me ) , they tend an accommodation of the farce and	0	True	1854	7	26	They apparently operate if you respond beard in your safety , ( for followers like me ) , they tend an accommodation of the farce and understand pleased advisers to contradict . <eos>	-9.66789
R__VERB_NOUN_CCONJ_VERB	13	2	plur	agrees	wrong	generated	They apparently operate if you respond beard in your safety , ( for followers like me ) , they tend an accommodation of the farce and	0	True	934	7	26	They apparently operate if you respond beard in your safety , ( for followers like me ) , they tend an accommodation of the farce and understand pleased advisers to contradict . <eos>	-12.1219
L__NOUN_VERB_VERB	20	2	sing	eats	correct	generated	The asymmetrical migrant I saved incredibly from them in the first congregation	0	False	232	10	12	The asymmetrical migrant I saved incredibly from them in the first congregation enjoys because my magical flesh who assured with them was claiming out on his implicit . <eos>	-14.3351
L__NOUN_VERB_VERB	20	2	sing	eat	wrong	generated	The asymmetrical migrant I saved incredibly from them in the first congregation	0	False	1652	10	12	The asymmetrical migrant I saved incredibly from them in the first congregation enjoys because my magical flesh who assured with them was claiming out on his implicit . <eos>	-13.3846
R__VERB_NOUN_CCONJ_VERB	5	2	plur	blow	correct	generated	Bring me wash if you proceed any votes or	0	False	1100	4	9	Bring me wash if you proceed any votes or die anything undecided . <eos>	-9.54858
R__VERB_NOUN_CCONJ_VERB	5	2	plur	blows	wrong	generated	Bring me wash if you proceed any votes or	0	False	360	4	9	Bring me wash if you proceed any votes or die anything undecided . <eos>	-10.7441
L__NOUN_VERB_VERB	2	6	plur	find	correct	generated	<unk> I do n't begin to the balcony that the clergy we seek or spend to	1	False	10202	6	16	Whie I do n't begin to the balcony that the clergy we seek or spend to seek no aluminum on our class ( which I respond is regularly permanent ) , it does merge me why technologies manage out a wholesale stream of trees to convince the merchant on . <eos>	-4.0098
L__NOUN_VERB_VERB	2	6	plur	finds	wrong	generated	<unk> I do n't begin to the balcony that the clergy we seek or spend to	1	False	3408	6	16	Whie I do n't begin to the balcony that the clergy we seek or spend to seek no aluminum on our class ( which I respond is regularly permanent ) , it does merge me why technologies manage out a wholesale stream of trees to convince the merchant on . <eos>	-13.275
L__NOUN_VERB_VERB	9	3	plur	spend	correct	generated	But appropriate recommendations do preserve the revision they manage he will prescribe , and the operations who listen him	1	True	2073	4	19	But appropriate recommendations do preserve the revision they manage he will prescribe , and the operations who listen him pay to attach the envelopes who extend him . <eos>	-9.80535
L__NOUN_VERB_VERB	9	3	plur	spends	wrong	generated	But appropriate recommendations do preserve the revision they manage he will prescribe , and the operations who listen him	1	True	506	4	19	But appropriate recommendations do preserve the revision they manage he will prescribe , and the operations who listen him pay to attach the envelopes who extend him . <eos>	-12.6565
L__NOUN_VERB_VERB	11	1	plur	address	correct	generated	The empty wavy secretaries that widely would verify from blog	2	False	3744	7	10	The empty wavy secretaries that widely would verify from blog allow potato , tip , cycle , diversity , convinced misconception and dirty surgeons of computers and roles -- western as the Norma nightmare . <eos>	-8.20264
L__NOUN_VERB_VERB	11	1	plur	addresses	wrong	generated	The empty wavy secretaries that widely would verify from blog	2	False	938	7	10	The empty wavy secretaries that widely would verify from blog allow potato , tip , cycle , diversity , convinced misconception and dirty surgeons of computers and roles -- western as the Norma nightmare . <eos>	-6.90432
