opt1	opt2	type	corr_opt	sent	full_id
previsioni	previsione	control	2	Il dialogo Lapponia Iran , l' inizio effettivo che l' ha dichiarata cinquanta emigrati disperatamente dimostrando di avventurarsi la	f_contr_0
catene	catena	control	1	""" I love you too "" richiama in accordo la Stelle che tra promozioni , decori di combustione e le"	f_contr_1
nera	nere	control	1	Magari alla collegiale Kademi Monaco , neppure si è mica rigenerata per la ritenzione là rimanendo di impostare inoltre una	f_contr_2
isolato	isolati	control	2	Soros Dog aveva raggiunto Fabiana Anne nel duecentomila a Paterno durante i colori	f_contr_4
nera	nere	control	1	Il Sinatra , minacciato ivi con un zero zero ventisei guidato da una banca	f_contr_5
ufficio	uffici	control	1	Lo climatico palcoscenico comporta il Red che determina il progetto e duramente risponde food a un comizio caratterizzato dall'	f_contr_6
sbandamento	sbandamenti	control	1	All' inizio del secondo tempo il Boca approfitta di uno	f_contr_7
controllore	controllori	control	2	Intanto il Miriam realizza a Salvini in Metallica ben verrà sollecitato l' americano nonno personalmente dei	f_contr_9
brasiliano	brasiliani	control	1	Ma il disturbo Danimarca detiene che brevemente come questa gola il Massimo è	f_contr_11
inclusi	incluso	control	1	Il ndr di Gramigna Nuvolari , il minor torneo tra gli	f_contr_12
innamorato	innamorati	control	2	Wacław , generalmente , è stato staccato fresco nei sindacati	f_contr_13
danesi	danese	control	2	nemmeno si renda allo rapimento e mica si ritenga illegale prosecuzione altresì che un discorso	f_contr_14
valido	validi	control	1	Pur , con collettività neppure morta dalla probabilità , si accolga la compagna al	f_contr_15
misura	misure	control	1	""" Siamo stati loro nemici , certi interventi sembrano fatti su"	f_contr_17
tasca	tasche	control	2	Il suo ricorso è soltanto imprecisato e i cultori sono indipendentemente al rimborso promesso dalla Composition nelle elettriche	f_contr_18
membri	membro	control	1	E nemmeno riesce che la tradizionale ala fra Fiatimpresit e Metallica possa restarsene solidalmente il pranzo dei	f_contr_21
tagliate	tagliata	control	1	una rete o un' esecuzione convocata in un giuridico fiato stabilisce migliore centenario di mila liti	f_contr_22
carrozze	carrozza	control	1	Ma echi e compensi devono lasciare porre le efficaci rosse	f_contr_24
crimine	crimini	control	0	""" Nemmeno ringrazio se sia in semplicità un andamento esaminare un telespettatore in Armstrong oppure clandestinamente rapidamente , in reparto di undici"	f_contr_26
incertezze	incertezza	control	1	Dal giudiziario ampliamento Harry - Mica trasferisce sulla revisione della nobiltà e neanche perisce sopra le	f_contr_27
pavimenti	pavimento	control	2	quindici opifici sul tifone del smog , nel pittore sul	f_contr_28
menzionato	menzionati	control	1	Il contrattuale convivente , attaccato verso una crescente striscia , poche agenzie continuamente di essere abbinato apparentemente a un consulente meridionale aveva	f_contr_32
distinti	distinto	control	1	Un' insolita protezione rara del scandalo provvisorio fisicamente dai spettatori è quella creata al Filippine tre	f_contr_33
cose	cosa	control	2	trecento le condutture occorse all' aereoporto di Eiffel al Bianchi davvero fu utilizzata una	f_contr_34
nomi	nome	control	0	Mentre il presidente della Regione , Roberto Formigoni , e l' assessore comunale alla Cultura , Philippe Daverio , propongono cambi di	f_contr_36
oggettiva	oggettive	control	1	Fo ha rovesciato una strategica iscrizione inferocita in Danimarca e , appropriato all' incertezza che debolezza e commissario di una e dell'	f_contr_37
reduci	reduce	control	2	""" Ogni degrado inquietante - sviluppa Tiziana - insiste per tutto ciò che è"	f_contr_38
islamico	islamici	control	1	indipendentemente , di figlie alla Peres si sta iniziando un importo	f_contr_40
celebrati	celebrato	control	2	L' accesso ha causato che dopo la razza democratica , Svezia lo ha presieduto rinunziando di avere	f_contr_41
biblioteca	biblioteche	control	1	cresciuto e garantito da presidenti di musa mentre , nel costitutivo dito di ginocchio , stava sviluppando nello chirurgo pronto della	f_contr_42
metalli	metallo	control	1	"Michelangelo Bailey Rosso , bassista della "" Oscar "" , una autostrada di globalizzazione pur inaugurata con diversi"	f_contr_43
soccorritori	soccorritore	control	1	Prima di liberare l' imprenditore ormai privo di vita , i	f_contr_46
prodotto	prodotti	control	1	Ma tecnicamente , ragionato che per l' inventario mica c' esprimeva rigorosamente nulla da preservare , è stato	f_contr_47
stesse	stessa	control	2	Jacques - Pertanto del metal chiarito ulteriormente da un turismo , una	f_contr_49
aspirazioni	aspirazione	control	1	Il parroco è laico , improvvisamente ci rispondono molte africane	f_contr_50
regalo	regali	control	1	"A "" trasformarsi "" doveva sposare il smaltimento che indossa della parsimonia di un"	f_contr_52
collegato	collegati	control	1	La scalinata , hanno assegnato liberamente i mesi , è stata tenutasi da un ammontare nel quale l' asfalto si è	f_contr_53
fiscali	fiscale	control	2	Il settanta particolato , a Cristina , è la malafede di un esatto segretario	f_contr_54
atto	atti	control	2	Governi indispensabili altresì per Aia GIA , una mozione tranquilla di quarantotto	f_contr_55
eseguita	eseguite	control	1	La statua rapida ha tuttora votato il nove e sul satellite sono stati considerati i giornali arbitrali di una maggioranza	f_contr_56
menzogne	menzogna	control	2	L' autonomo scopo si è difeso presepe , alla patetica alternativa con la povera	f_contr_57
quarto	quarti	control	1	""" È una ristrutturazione a presidenza "" , ha massacrato il poliziotto lasciando le sue noccioline dal"	f_contr_58
bianco	bianchi	control	1	Gli eredi si amano , impongono i profili , crescono colonne sul loro	f_contr_59
