pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent
R__NOUN_ADJ_PUNCT_SCONJ_VERB	13	1	sing	מושלמת	correct	generated	ב תליין ה קומץ הציע ארקדי , כי תקליט ל רשותו הוא צפיה זכרית ו מעירה , ה	0	True	737	6	18	ב תליין ה קומץ הציע ארקדי , כי תקליט ל רשותו הוא צפיה זכרית ו מעירה , ה מתיידדת טבלאות טקטיות . <eos>
R__NOUN_ADJ_PUNCT_SCONJ_VERB	13	1	sing	מושלמות	wrong	generated	ב תליין ה קומץ הציע ארקדי , כי תקליט ל רשותו הוא צפיה זכרית ו מעירה , ה	0	True	92	6	18	ב תליין ה קומץ הציע ארקדי , כי תקליט ל רשותו הוא צפיה זכרית ו מעירה , ה מתיידדת טבלאות טקטיות . <eos>
R__VERB_NOUN_CCONJ_VERB	21	1	sing	נוטר	correct	generated	לפני כ משקפיים החליט מבחן ה נשק ה סטרי רעלה שרירותית , ש לפיה אם גלשן מפורק על ניצחון ה חששות ו	0	True	165	6	22	לפני כ משקפיים החליט מבחן ה נשק ה סטרי רעלה שרירותית , ש לפיה אם גלשן מפורק על ניצחון ה חששות ו נישבר צדם פיטורין , יהיו סולמות ש קיווה קודם ל כן מ אמצע ל תוככי סוג ה טוראי , למשל ב הצלה ב סולטנות , ספרתיים כ בוררות . <eos>
R__VERB_NOUN_CCONJ_VERB	21	1	sing	נוטרים	wrong	generated	לפני כ משקפיים החליט מבחן ה נשק ה סטרי רעלה שרירותית , ש לפיה אם גלשן מפורק על ניצחון ה חששות ו	0	True	219	6	22	לפני כ משקפיים החליט מבחן ה נשק ה סטרי רעלה שרירותית , ש לפיה אם גלשן מפורק על ניצחון ה חששות ו נישבר צדם פיטורין , יהיו סולמות ש קיווה קודם ל כן מ אמצע ל תוככי סוג ה טוראי , למשל ב הצלה ב סולטנות , ספרתיים כ בוררות . <eos>
R__NOUN_ADJ_DET_ADJ	0	0	sing	רדוד	correct	original	"הוא השתמש ב צירוף "" קיטש ו מוות "" כדי לחדד את ה פער ש בין ה אופי ה פופולרי ה"	0	True	292	4	21	"הוא השתמש ב צירוף "" קיטש ו מוות "" כדי לחדד את ה פער ש בין ה אופי ה פופולרי ה רדוד של ה שיקוף ה אמנותי לבין ה אפלה ה איומה של ה מציאות ה נאצית עצמה . <eos>"
R__NOUN_ADJ_DET_ADJ	0	0	sing	רדודים	wrong	original	"הוא השתמש ב צירוף "" קיטש ו מוות "" כדי לחדד את ה פער ש בין ה אופי ה פופולרי ה"	0	True	378	4	21	"הוא השתמש ב צירוף "" קיטש ו מוות "" כדי לחדד את ה פער ש בין ה אופי ה פופולרי ה רדוד של ה שיקוף ה אמנותי לבין ה אפלה ה איומה של ה מציאות ה נאצית עצמה . <eos>"
R__NOUN_NOUN_DET_ADJ	37	2	plur	קבועות	correct	generated	זאת , לערער מ תוכניות ה חקיקה ה	1	True	825	4	8	זאת , לערער מ תוכניות ה חקיקה ה מפוארות , ש בהן יש מאפייה גם ל משקי . <eos>
R__NOUN_NOUN_DET_ADJ	37	2	plur	קבועה	wrong	generated	זאת , לערער מ תוכניות ה חקיקה ה	1	True	2527	4	8	זאת , לערער מ תוכניות ה חקיקה ה מפוארות , ש בהן יש מאפייה גם ל משקי . <eos>
R__NOUN_PUNCT_NOUN_PUNCT_NOUN	7	4	sing	אחזקת	correct	generated	אחרי מודל מכונף של ה הגמוניה ה חיסונית אליל , ריקבון ,	0	True	331	4	12	אחרי מודל מכונף של ה הגמוניה ה חיסונית אליל , ריקבון , פקידות פופוליסטית ב פרקטיקות מזיזים ו עוד , נאסרת ריקליס את שנות ה אדריאן - ראפיד - יעקב ו מתחתנת אותן על שוויון ה הכרמל . <eos>
R__NOUN_PUNCT_NOUN_PUNCT_NOUN	7	4	sing	אחזקות	wrong	generated	אחרי מודל מכונף של ה הגמוניה ה חיסונית אליל , ריקבון ,	0	True	378	4	12	אחרי מודל מכונף של ה הגמוניה ה חיסונית אליל , ריקבון , פקידות פופוליסטית ב פרקטיקות מזיזים ו עוד , נאסרת ריקליס את שנות ה אדריאן - ראפיד - יעקב ו מתחתנת אותן על שוויון ה הכרמל . <eos>
