pattern	constr_id	sent_id	type	prefix	correct_number	n_attr	punct	len_context	len_prefix	hidden650_batch64_dropout0.2_lr10.0	mturk_count	freq
L__DET_ADJ_NOUN	1	0	original	dopo le ripetute , violente	plur	0	True	4	5	100	100.0	0
L__DET_ADJ_NOUN	1	1	generated	dopo le giuste , mediche	plur	0	True	4	5	100	100.0	0
L__DET_ADJ_NOUN	1	2	generated	dopo le valide , nordiche	plur	0	True	4	5	100	100.0	100
L__DET_ADJ_NOUN	1	3	generated	dopo le preferite , soggette	plur	0	True	4	5	100	100.0	0
L__DET_ADJ_NOUN	1	4	generated	dopo le turistiche , sotterranee	plur	0	True	4	5	100	100.0	0
L__DET_ADJ_NOUN	1	5	generated	dopo le giuridiche , nordiche	plur	0	True	4	5	100	100.0	100
L__DET_ADJ_NOUN	1	6	generated	dopo le future , metropolitane	plur	0	True	4	5	0	100.0	0
L__DET_ADJ_NOUN	1	7	generated	dopo le rigide , generiche	plur	0	True	4	5	100	100.0	0
L__DET_ADJ_NOUN	1	8	generated	dopo le grasse , brutte	plur	0	True	4	5	100	100.0	0
L__DET_ADJ_NOUN	1	9	generated	dopo le turistiche , giuridiche	plur	0	True	4	5	100	100.0	100
L__DET_ADJ_NOUN	6	0	original	2 ) Per i veri e propri	plur	0	False	4	7	100	91.66666666666666	0
L__DET_ADJ_NOUN	6	1	generated	zero ) Per i tranquilli e meteorologici	plur	0	False	4	7	100	100.0	0
L__DET_ADJ_NOUN	6	2	generated	tremila ) Per i grossi e secchi	plur	0	False	4	7	100	100.0	0
L__DET_ADJ_NOUN	6	3	generated	tremila ) Per i secchi e preziosi	plur	0	False	4	7	100	100.0	0
L__DET_ADJ_NOUN	6	4	generated	sette ) Per i misteriosi e tranquilli	plur	0	False	4	7	100	100.0	0
L__DET_ADJ_NOUN	6	5	generated	cento ) Per i preziosi e futuri	plur	0	False	4	7	100	87.5	0
L__DET_ADJ_NOUN	6	6	generated	cinquemila ) Per i negativi e letterari	plur	0	False	4	7	100	100.0	100
L__DET_ADJ_NOUN	6	7	generated	ventiquattro ) Per i linguistici e necessari	plur	0	False	4	7	100	100.0	0
L__DET_ADJ_NOUN	6	8	generated	sedici ) Per i velenosi e riservati	plur	0	False	4	7	100	100.0	0
L__DET_ADJ_NOUN	6	9	generated	duemila ) Per i britannici e noti	plur	0	False	4	7	100	100.0	0
L__DET_ADJ_NOUN	7	0	original	La polizia non ha aperto una vera e propria	sing	0	False	4	9	100	100.0	0
L__DET_ADJ_NOUN	7	1	generated	La finestra mica ha acquistato una buona e netta	sing	0	False	4	9	100	100.0	100
L__DET_ADJ_NOUN	7	2	generated	La perdita mica ha evitato una suburbana e nera	sing	0	False	4	9	0	100.0	0
L__DET_ADJ_NOUN	7	3	generated	La zanzara neppure ha inventato una balcanica e serena	sing	0	False	4	9	100	100.0	100
L__DET_ADJ_NOUN	7	4	generated	La musica nemmeno ha abolito una calda e negativa	sing	0	False	4	9	100	100.0	100
L__DET_ADJ_NOUN	7	5	generated	La rilevanza neanche ha accolto una carbonica e buona	sing	0	False	4	9	100	100.0	100
L__DET_ADJ_NOUN	7	6	generated	La bara neppure ha accaduto una pronta e televisiva	sing	0	False	4	9	100	100.0	100
L__DET_ADJ_NOUN	7	7	generated	La gamba neppure ha avviato una prossima e netta	sing	0	False	4	9	100	100.0	100
L__DET_ADJ_NOUN	7	8	generated	La lingua neanche ha innalzato una rossa e legislativa	sing	0	False	4	9	100	100.0	100
L__DET_ADJ_NOUN	7	9	generated	La maestria neppure ha istituito una veneta e fresca	sing	0	False	4	9	100	100.0	100
L__DET_ADJ_NOUN	8	0	original	I disoccupati non sono ammessi nei ranghi del più piccolo e antico	sing	0	False	4	12	100	100.0	100
