pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent	ngram_lstm_hidden650_batch256_dropout0.2_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr20.0	ngram_lstm_hidden650_batch512_dropout0.0_lr5.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr20.0	ngram_lstm_hidden650_batch512_dropout0.0_lr1.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr5.0	ngram_lstm_hidden650_batch512_dropout0.1_lr5.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr1.0	ngram_lstm_hidden650_batch512_dropout0.1_lr1.0	ngram_lstm_hidden650_batch256_dropout0.2_lr10.0	ngram_lstm_hidden650_batch512_dropout0.0_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr1.0	ngram_lstm_hidden650_batch512_dropout0.0_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr5.0	ngram_lstm_hidden650_batch256_dropout0.1_lr1.0	ngram_lstm_hidden650_batch256_dropout0.0_lr10.0	ngram_lstm_hidden650_batch256_dropout0.2_lr5.0	ngram_lstm_hidden650_batch256_dropout0.1_lr10.0	ngram_lstm_hidden650_batch256_dropout0.1_lr5.0	ngram_lstm_hidden650_batch256_dropout0.1_lr20.0	ngram_lstm_hidden650_batch256_dropout0.0_lr1.0	ngram_lstm_hidden650_batch256_dropout0.2_lr1.0	ngram_lstm_hidden650_batch256_dropout0.0_lr5.0	ngram_lstm_hidden650_batch256_dropout0.0_lr20.0	ngram_lstm_hidden650_batch512_dropout0.2_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr5.0	ngram_lstm_hidden650_batch512_dropout0.2_lr10.0	ngram_lstm_hidden650_batch512_dropout0.1_lr10.0	ngram_lstm_hidden650_batch512_dropout0.2_lr5.0	ngram_lstm_hidden650_batch512_dropout0.2_lr1.0	ngram_lstm_hidden650_batch512_dropout0.1_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr1.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr20.0
R__VERB_NOUN_CCONJ_VERB	11	9	sing	promises	correct	generated	This wagon of mankind keeps around the rumor s disability and donations and	0	False	733	9	13	This wagon of mankind keeps around the rumor s disability and donations and refuses a heater for the pleasure uniquely on the surgeon of the freedom in time of difference souls . <eos>	-9.03193	-7.30212	-8.81644	-8.15965	-10.0683	-9.92601	-8.77128	-10.0266	-8.92397	-8.89793	-9.11454	-8.83475	-9.65257	-7.78527	-8.92332	-8.805	-8.82508	-8.26568	-8.60234	-9.14714	-8.57365	-8.25763	-10.008	-8.32643	-11.2099	-9.58811	-9.00105	-8.40105	-8.61594	-9.22912	-8.81097	-9.15536	-8.98009	-8.22353	-9.17898	-7.31229
R__VERB_NOUN_CCONJ_VERB	11	9	sing	promise	wrong	generated	This wagon of mankind keeps around the rumor s disability and donations and	0	False	1387	9	13	This wagon of mankind keeps around the rumor s disability and donations and refuses a heater for the pleasure uniquely on the surgeon of the freedom in time of difference souls . <eos>	-8.59211	-9.81132	-9.62566	-9.35349	-9.54458	-11.3316	-10.205	-8.52821	-10.4811	-9.77744	-9.05524	-9.73802	-10.1099	-8.49276	-10.4267	-8.87312	-9.69766	-9.37324	-9.2467	-8.92246	-9.52257	-9.06143	-9.84293	-10.5987	-10.9663	-10.4504	-9.97269	-9.68599	-9.56967	-9.56737	-9.52245	-9.88073	-9.06274	-9.90542	-10.3945	-9.53012
L__NOUN_VERB_VERB	12	2	plur	use	correct	generated	Administrative debtors that virtually would merge	1	False	47118	5	6	Administrative debtors that virtually would merge add crimes , notion , Penn guest and some hours of regions . <eos>	-10.4205	-10.349	-10.7364	-12.6969	-10.5934	-12.8864	-12.0877	-13.4169	-11.5222	-11.8371	-11.2568	-11.4972	-12.6241	-8.53683	-11.6228	-11.8241	-12.6773	-11.8441	-9.54831	-12.6883	-9.54658	-10.7129	-12.5725	-11.6911	-10.7425	-10.6158	-11.0999	-11.6654	-10.1557	-10.6992	-9.88156	-11.1738	-9.13723	-12.2612	-9.45632	-12.3318
L__NOUN_VERB_VERB	12	2	plur	uses	wrong	generated	Administrative debtors that virtually would merge	1	False	7477	5	6	Administrative debtors that virtually would merge add crimes , notion , Penn guest and some hours of regions . <eos>	-13.8736	-12.0004	-12.6971	-15.1349	-16.5473	-13.6977	-15.2052	-12.5171	-14.9074	-12.9258	-13.456	-14.5259	-15.3374	-13.8991	-13.5494	-13.4549	-13.2075	-13.5438	-12.4307	-15.1875	-13.3982	-12.681	-15.4889	-13.9827	-13.5698	-14.2106	-12.9289	-14.7	-12.8317	-13.401	-13.2667	-13.2735	-12.8368	-14.7145	-14.2121	-14.2247
L__NOUN_VERB_VERB	18	2	sing	includes	correct	generated	The endless weird lot I have greeted	0	False	10564	4	7	The endless weird lot I have greeted appears that in the presence of IRS eighteen tow of the crab is abroad resolved in the gift the reputation before the plate , this paradise described after the peaceful sensor . <eos>	-10.7401	-13.1307	-12.9374	-14.3189	-12.7231	-15.0705	-13.2793	-11.7486	-13.4058	-14.7262	-12.769	-15.0296	-13.6813	-11.7889	-15.4489	-11.6946	-15.1329	-11.3707	-14.8245	-14.6289	-12.2551	-13.2575	-14.5394	-15.1339	-12.3301	-13.7543	-15.2886	-13.9462	-12.9039	-14.3114	-12.5749	-13.1047	-13.0715	-13.6565	-13.1401	-11.317
L__NOUN_VERB_VERB	18	2	sing	include	wrong	generated	The endless weird lot I have greeted	0	False	24625	4	7	The endless weird lot I have greeted appears that in the presence of IRS eighteen tow of the crab is abroad resolved in the gift the reputation before the plate , this paradise described after the peaceful sensor . <eos>	-9.40813	-11.6481	-10.3463	-11.898	-10.8478	-12.4756	-12.9459	-9.92834	-12.4113	-11.6336	-9.81019	-11.8418	-12.861	-9.07805	-13.5386	-9.28247	-11.6162	-11.8762	-12.3242	-14.1195	-10.5798	-10.8359	-13.0378	-11.6513	-10.5363	-13.8878	-13.1959	-10.6718	-11.3637	-10.6392	-12.0814	-10.7405	-9.75573	-12.2219	-10.0599	-8.48619
R__VERB_NOUN_CCONJ_VERB	11	4	sing	shows	correct	generated	This dresser of chairman reflects around the veteran s sake and minerals and	0	False	10751	9	13	This dresser of chairman reflects around the veteran s sake and minerals and wins a timetable for the moon electronically on the storage of the skill in correlation of status walls . <eos>	-8.53485	-8.19822	-9.61662	-8.869	-8.75823	-9.67413	-9.86546	-8.39796	-9.45872	-9.87921	-8.57777	-8.94595	-9.82355	-8.74784	-9.09196	-9.66268	-9.67881	-8.26893	-10.321	-8.00798	-9.76087	-8.22843	-8.26607	-9.3972	-9.82898	-7.98738	-10.1724	-9.1791	-9.83105	-8.08071	-9.21199	-10.0091	-8.70506	-8.16427	-9.1442	-7.39819
R__VERB_NOUN_CCONJ_VERB	11	4	sing	show	wrong	generated	This dresser of chairman reflects around the veteran s sake and minerals and	0	False	26893	9	13	This dresser of chairman reflects around the veteran s sake and minerals and wins a timetable for the moon electronically on the storage of the skill in correlation of status walls . <eos>	-8.5013	-8.58913	-8.65311	-9.48367	-9.00186	-10.0701	-9.54152	-8.73792	-11.0084	-9.89562	-8.79431	-7.27794	-9.69348	-9.00533	-9.04555	-10.2762	-9.29301	-9.25965	-9.93446	-8.68608	-10.06	-8.76562	-7.55986	-8.69338	-10.4407	-8.86978	-11.1315	-9.15935	-9.89063	-8.64889	-9.03196	-10.6275	-9.45679	-9.19042	-9.51035	-8.23013
R__VERB_NOUN_CCONJ_VERB	13	2	plur	agree	correct	generated	They apparently operate if you respond beard in your safety , ( for followers like me ) , they tend an accommodation of the farce and	0	True	1854	7	26	They apparently operate if you respond beard in your safety , ( for followers like me ) , they tend an accommodation of the farce and understand pleased advisers to contradict . <eos>	-12.1312	-11.937	-10.6052	-13.2889	-12.1771	-10.6702	-13.2358	-13.2116	-11.3098	-10.9718	-12.3405	-14.5012	-11.4074	-14.2642	-14.9735	-13.6126	-10.9247	-11.9249	-11.9583	-14.8575	-11.476	-12.3655	-12.9353	-11.4128	-15.8344	-11.7339	-11.5912	-14.0761	-12.11	-12.4893	-12.1067	-10.3888	-14.066	-14.3045	-12.4831	-12.6107
R__VERB_NOUN_CCONJ_VERB	13	2	plur	agrees	wrong	generated	They apparently operate if you respond beard in your safety , ( for followers like me ) , they tend an accommodation of the farce and	0	True	934	7	26	They apparently operate if you respond beard in your safety , ( for followers like me ) , they tend an accommodation of the farce and understand pleased advisers to contradict . <eos>	-9.9581	-11.2303	-10.9089	-12.2034	-11.8214	-9.85154	-11.081	-10.5291	-11.7034	-9.85676	-11.2836	-12.4194	-11.7935	-10.6372	-11.8191	-11.8495	-10.8478	-12.1376	-9.32617	-11.9342	-11.4062	-10.2725	-10.7387	-10.8141	-15.4037	-10.1953	-10.1227	-11.3544	-11.6785	-12.3875	-10.4361	-9.07578	-13.2049	-11.508	-10.1559	-10.8657
L__NOUN_VERB_VERB	20	2	sing	eats	correct	generated	The asymmetrical migrant I saved incredibly from them in the first congregation	0	False	232	10	12	The asymmetrical migrant I saved incredibly from them in the first congregation enjoys because my magical flesh who assured with them was claiming out on his implicit . <eos>	-17.6701	-15.707	-14.1386	-14.0786	-17.2285	-15.4167	-15.4759	-15.338	-14.093	-14.8794	-15.2285	-13.1505	-14.6101	-15.1879	-14.5655	-14.7975	-15.6424	-15.3184	-16.6191	-16.3868	-15.8339	-18.9542	-14.7814	-15.3905	-15.6444	-13.4088	-15.0563	-15.2232	-14.3789	-16.0972	-14.4513	-14.2561	-14.395	-15.0483	-14.1351	-16.8994
